Id-Municipio,Anos,Area-Total-Km,Area-Desmatada-Km,Area-Floresta,Area-Reflorestamento,Municipio,Nome-Regiao,Estado
1100015,2019,7137,2360.4,3046.4,32.4,Alta Floresta D'Oeste,Norte,Rondônia
1100023,2019,4481,3300.8,1090.4,18.9,Ariquemes,Norte,Rondônia
1100031,2019,1322,1003.5,303.5,4.7,Cabixi,Norte,Rondônia
1100049,2019,3821,2529.2,1259.8,6.0,Cacoal,Norte,Rondônia
1100056,2019,2805,819.1,741.5,1.1,Cerejeiras,Norte,Rondônia
1100064,2019,1460,1201.8,204.3,1.9,Colorado do Oeste,Norte,Rondônia
1100072,2019,3081,2172.0,809.6,3.9,Corumbiara,Norte,Rondônia
1100080,2019,5058,1881.3,2597.0,47.6,Costa Marques,Norte,Rondônia
1100098,2019,4551,2123.6,2130.6,6.9,Espigão D'Oeste,Norte,Rondônia
1100106,2019,25260,1551.6,19743.2,22.6,Guajará-Mirim,Norte,Rondônia
1100114,2019,2976,2628.7,302.5,2.3,Jaru,Norte,Rondônia
1100122,2019,6955,2617.6,4235.8,3.4,Ji-Paraná,Norte,Rondônia
1100130,2019,8590,3523.3,4623.4,79.9,Machadinho D'Oeste,Norte,Rondônia
1100148,2019,1167,909.2,192.7,3.6,Nova Brasilândia D'Oeste,Norte,Rondônia
1100155,2019,1990,1833.8,139.1,22.7,Ouro Preto do Oeste,Norte,Rondônia
1100189,2019,6280,2503.1,2725.0,20.5,Pimenta Bueno,Norte,Rondônia
1100205,2019,34631,10617.9,22830.1,419.0,Porto Velho,Norte,Rondônia
1100254,2019,1773,1610.3,135.6,1.1,Presidente Médici,Norte,Rondônia
1100262,2019,1741,1120.7,597.0,10.8,Rio Crespo,Norte,Rondônia
1100288,2019,1471,1330.6,140.4,2.6,Rolim de Moura,Norte,Rondônia
1100296,2019,1207,981.7,225.3,1.5,Santa Luzia D'Oeste,Norte,Rondônia
1100304,2019,11584,1850.4,8046.3,25.5,Vilhena,Norte,Rondônia
1100320,2019,8102,2238.1,4065.7,19.2,São Miguel do Guaporé,Norte,Rondônia
1100338,2019,10241,4045.5,4794.1,150.6,Nova Mamoré,Norte,Rondônia
1100346,2019,3060,1387.2,853.1,2.5,Alvorada D'Oeste,Norte,Rondônia
1100379,2019,3994,1345.6,1717.0,10.5,Alto Alegre dos Parecis,Norte,Rondônia
1100403,2019,2683,1982.2,682.4,46.9,Alto Paraíso,Norte,Rondônia
1100452,2019,3315,2663.8,646.3,31.8,Buritis,Norte,Rondônia
1100502,2019,852,750.0,97.4,1.4,Novo Horizonte do Oeste,Norte,Rondônia
1100601,2019,1985,1499.3,444.6,6.1,Cacaulândia,Norte,Rondônia
1100700,2019,3491,2094.7,1122.1,15.0,Campo Novo de Rondônia,Norte,Rondônia
1100809,2019,6931,2364.3,4185.7,106.4,Candeias do Jamari,Norte,Rondônia
1100908,2019,901,733.9,164.0,1.8,Castanheiras,Norte,Rondônia
1100924,2019,5164,2715.6,2119.6,15.2,Chupinguaia,Norte,Rondônia
1100940,2019,3904,2059.7,1842.1,115.5,Cujubim,Norte,Rondônia
1101005,2019,5131,1386.4,3553.2,5.8,Governador Jorge Teixeira,Norte,Rondônia
1101104,2019,4132,987.8,2934.6,15.1,Itapuã do Oeste,Norte,Rondônia
1101203,2019,804,716.2,87.8,1.2,Ministro Andreazza,Norte,Rondônia
1101302,2019,1205,660.1,330.6,8.0,Mirante da Serra,Norte,Rondônia
1101401,2019,1955,1500.3,410.0,10.8,Monte Negro,Norte,Rondônia
1101435,2019,815,724.7,86.3,21.7,Nova União,Norte,Rondônia
1101450,2019,2568,1194.5,890.1,7.4,Parecis,Norte,Rondônia
1101468,2019,6065,1296.1,2316.7,3.7,Pimenteiras do Oeste,Norte,Rondônia
1101476,2019,610,425.6,90.3,0.3,Primavera de Rondônia,Norte,Rondônia
1101484,2019,547,487.0,60.0,0.6,São Felipe D'Oeste,Norte,Rondônia
1101492,2019,11095,2582.2,5345.1,23.2,São Francisco do Guaporé,Norte,Rondônia
1101500,2019,3821,1357.2,1768.8,53.7,Seringueiras,Norte,Rondônia
1101559,2019,464,442.5,21.5,0.3,Teixeirópolis,Norte,Rondônia
1101609,2019,2217,1777.1,439.5,5.8,Theobroma,Norte,Rondônia
1101708,2019,841,695.4,47.9,0.4,Urupá,Norte,Rondônia
1101757,2019,3166,1297.4,1838.3,9.2,Vale do Anari,Norte,Rondônia
1101807,2019,974,886.2,83.6,1.9,Vale do Paraíso,Norte,Rondônia
1200013,2019,1880,1227.3,652.7,20.4,Acrelândia,Norte,Acre
1200054,2019,5180,316.0,4863.5,22.8,Assis Brasil,Norte,Acre
1200104,2019,4062,1501.1,2560.5,62.3,Brasiléia,Norte,Acre
1200138,2019,3104,1295.0,1808.8,27.1,Bujari,Norte,Acre
1200179,2019,1760,958.3,801.7,28.4,Capixaba,Norte,Acre
1200203,2019,9202,1088.5,8064.2,26.2,Cruzeiro do Sul,Norte,Acre
1200252,2019,1703,901.0,801.9,11.6,Epitaciolândia,Norte,Acre
1200302,2019,29179,1741.2,27420.1,97.7,Feijó,Norte,Acre
1200328,2019,5635,184.4,5450.1,11.8,Jordão,Norte,Acre
1200336,2019,5762,440.1,5214.4,12.9,Mâncio Lima,Norte,Acre
1200344,2019,11118,477.3,10591.2,32.9,Manoel Urbano,Norte,Acre
1200351,2019,8588,281.7,8305.6,14.6,Marechal Thaumaturgo,Norte,Acre
1200385,2019,1988,1493.3,494.7,9.3,Plácido de Castro,Norte,Acre
1200393,2019,6661,230.5,6427.5,9.4,Porto Walter,Norte,Acre
1200401,2019,9113,2881.9,6231.0,82.6,Rio Branco,Norte,Acre
1200427,2019,3246,535.2,2706.1,14.2,Rodrigues Alves,Norte,Acre
1200435,2019,6350,104.5,6210.5,7.3,Santa Rosa do Purus,Norte,Acre
1200450,2019,2384,1733.4,650.6,6.8,Senador Guiomard,Norte,Acre
1200500,2019,24599,2085.5,22510.5,83.1,Sena Madureira,Norte,Acre
1200609,2019,21156,1686.8,19454.4,70.6,Tarauacá,Norte,Acre
1200708,2019,5511,1498.1,4012.9,62.3,Xapuri,Norte,Acre
1200807,2019,2703,1372.0,1331.0,23.6,Porto Acre,Norte,Acre
1300029,2019,6027,347.2,5463.3,2.9,Alvarães,Norte,Amazonas
1300060,2019,4903,117.1,3313.5,0.0,Amaturá,Norte,Amazonas
1300086,2019,2473,202.3,1999.9,0.4,Anamã,Norte,Amazonas
1300102,2019,5852,83.5,4692.9,0.0,Anori,Norte,Amazonas
1300144,2019,54490,2910.6,50750.2,288.7,Apuí,Norte,Amazonas
1300201,2019,80005,248.2,79222.9,2.7,Atalaia do Norte,Norte,Amazonas
1300300,2019,7636,1379.5,4776.3,35.0,Autazes,Norte,Amazonas
1300409,2019,124163,221.8,94982.2,11.6,Barcelos,Norte,Amazonas
1300508,2019,5760,811.8,3561.2,3.8,Barreirinha,Norte,Amazonas
1300607,2019,9146,193.6,8743.7,0.9,Benjamin Constant,Norte,Amazonas
1300631,2019,17411,229.1,15663.3,2.8,Beruri,Norte,Amazonas
1300680,2019,2588,211.4,1117.6,1.1,Boa Vista do Ramos,Norte,Amazonas
1300706,2019,22595,2770.4,19642.2,148.1,Boca do Acre,Norte,Amazonas
1300805,2019,44452,567.2,41308.5,11.3,Borba,Norte,Amazonas
1300839,2019,9550,250.7,8658.0,1.3,Caapiranga,Norte,Amazonas
1300904,2019,30278,1213.8,27779.0,60.6,Canutama,Norte,Amazonas
1301001,2019,26469,299.2,25598.1,0.6,Carauari,Norte,Amazonas
1301100,2019,6127,1132.2,4419.5,2.6,Careiro,Norte,Amazonas
1301159,2019,2641,578.8,726.4,11.8,Careiro da Várzea,Norte,Amazonas
1301209,2019,58828,791.2,52954.4,3.7,Coari,Norte,Amazonas
1301308,2019,18944,274.7,16480.5,2.5,Codajás,Norte,Amazonas
1301407,2019,15608,394.2,14654.4,3.7,Eirunepé,Norte,Amazonas
1301506,2019,7793,332.0,7384.8,14.2,Envira,Norte,Amazonas
1301605,2019,12392,106.5,9086.4,0.7,Fonte Boa,Norte,Amazonas
1301654,2019,7984,532.9,7237.0,20.0,Guajará,Norte,Amazonas
1301704,2019,33428,918.7,28608.8,89.7,Humaitá,Norte,Amazonas
1301803,2019,12595,257.8,12200.4,8.2,Ipixuna,Norte,Amazonas
1301852,2019,2229,497.1,618.4,0.8,Iranduba,Norte,Amazonas
1301902,2019,8927,1804.2,4627.3,14.1,Itacoatiara,Norte,Amazonas
1301951,2019,26042,137.0,25591.6,1.0,Itamarati,Norte,Amazonas
1302009,2019,4245,142.4,3774.6,0.9,Itapiranga,Norte,Amazonas
1302108,2019,57555,61.6,46869.4,0.5,Japurá,Norte,Amazonas
1302207,2019,19849,156.8,17618.4,0.4,Juruá,Norte,Amazonas
1302306,2019,71756,270.5,67204.4,12.2,Jutaí,Norte,Amazonas
1302405,2019,69672,5175.3,62257.5,390.2,Lábrea,Norte,Amazonas
1302504,2019,7381,819.4,3578.7,4.9,Manacapuru,Norte,Amazonas
1302553,2019,4001,502.5,2713.5,1.5,Manaquiri,Norte,Amazonas
1302603,2019,11473,1269.1,6972.3,6.1,Manaus,Norte,Amazonas
1302702,2019,48689,2174.6,34525.0,82.0,Manicoré,Norte,Amazonas
1302801,2019,17221,124.5,13851.3,1.1,Maraã,Norte,Amazonas
1302900,2019,40090,1448.8,36259.0,16.2,Maués,Norte,Amazonas
1303007,2019,14132,502.5,12084.3,3.0,Nhamundá,Norte,Amazonas
1303106,2019,5625,446.2,4450.5,6.0,Nova Olinda do Norte,Norte,Amazonas
1303205,2019,38114,128.1,35550.9,4.0,Novo Airão,Norte,Amazonas
1303304,2019,41452,1710.1,35985.5,232.4,Novo Aripuanã,Norte,Amazonas
1303403,2019,5958,990.0,1532.7,3.5,Parintins,Norte,Amazonas
1303502,2019,42877,295.5,42274.1,10.7,Pauini,Norte,Amazonas
1303536,2019,25568,787.2,20343.5,9.7,Presidente Figueiredo,Norte,Amazonas
1303569,2019,5838,589.2,5057.7,3.8,Rio Preto da Eva,Norte,Amazonas
1303601,2019,64130,223.9,57985.8,3.4,Santa Isabel do Rio Negro,Norte,Amazonas
