year_x,Area Total(km),Municipio,geocode_ibge,Estado,Area Desmatada(km)
2022,500.1,Atalaia,2700409,Alagoas,0.18
2022,91.08,Barra de Santo Antônio,2700508,Alagoas,0.05
2022,50.75,Barra de São Miguel,2700607,Alagoas,0.09
2022,286.87,Campo Alegre,2701407,Alagoas,0.07
2022,241.02,Capela,2701704,Alagoas,0.31
2022,152.22,Chã Preta,2701902,Alagoas,0.08
2022,165.3,Colônia Leopoldina,2702108,Alagoas,0.14
2022,745.7,Coruripe,2702306,Alagoas,0.23
2022,278.02,Flexeiras,2702801,Alagoas,0.19
2022,208.6,Ibateguara,2703007,Alagoas,0.49
2022,225.5,Igreja Nova,2703205,Alagoas,0.62
2022,192.22,Jacuípe,2703502,Alagoas,0.23
2022,71.5,Japaratinga,2703601,Alagoas,0.09
2022,220.29,Junqueiro,2704005,Alagoas,0.34
2022,362.56,Maceió,2704302,Alagoas,0.18
2022,85.77,Mar Vermelho,2704906,Alagoas,0.11
2022,266.89,Maragogi,2704500,Alagoas,0.03
2022,226.22,Marechal Deodoro,2704708,Alagoas,0.19
2022,160.34,Maribondo,2704807,Alagoas,0.35
2022,211.01,Matriz de Camaragibe,2705101,Alagoas,0.04
2022,190.49,Novo Lino,2705606,Alagoas,0.28
2022,159.55,Palmeira dos Índios,2706307,Alagoas,0.54
2022,187.01,Passo de Camaragibe,2706505,Alagoas,0.44
2022,520.22,Penedo,2706703,Alagoas,0.42
2022,110.97,Pindoba,2707008,Alagoas,0.43
2022,281.91,Porto Calvo,2707305,Alagoas,0.1
2022,91.61,Porto Real do Colégio,2707503,Alagoas,0.16
2022,204.05,Porto de Pedras,2707404,Alagoas,0.19
2022,266.53,Quebrangulo,2707602,Alagoas,0.09
2022,243.46,Rio Largo,2707701,Alagoas,0.13
2022,194.86,Santana do Mundaú,2708105,Alagoas,0.08
2022,36.38,Satuba,2708907,Alagoas,0.03
2022,212.45,São José da Laje,2708303,Alagoas,0.04
2022,352.21,São Luís do Quitunde,2708501,Alagoas,0.06
2022,53.42,São Miguel dos Milagres,2708709,Alagoas,0.13
2022,205.58,São Sebastião,2708808,Alagoas,0.1
2022,105.2,Tanque d'Arca,2709004,Alagoas,0.02
2022,262.4,Teotônio Vilela,2709152,Alagoas,0.63
2022,359.39,União dos Palmares,2709301,Alagoas,0.15
2022,353.24,Viçosa,2709400,Alagoas,0.22
2022,101.87,Aiquara,2900603,Bahia,2.58
2022,571.18,Alagoinhas,2900702,Bahia,0.71
2022,1053.59,Alcobaça,2900801,Bahia,1.09
2022,126.3,Almadina,2900900,Bahia,0.82
2022,361.44,Amargosa,2901007,Bahia,0.59
2022,152.47,Amélia Rodrigues,2901106,Bahia,0.1
2022,8.53,Anagé,2901205,Bahia,0.06
2022,269.82,Antônio Cardoso,2901700,Bahia,0.37
2022,281.95,Aporá,2901908,Bahia,0.6
2022,88.98,Apuarema,2901957,Bahia,0.4
2022,322.4,Aramari,2902203,Bahia,0.2
2022,75.43,Arataca,2902252,Bahia,1.74
2022,121.89,Aratuípe,2902302,Bahia,0.84
